stcty,D_PctEst,EM_PctEst,F_PctEst,FB_PctEst,LEP_PctEst,LI_PctEst,OA_PctEst,RM_PctEst,Y_PctEst,msaname,Mean_IPD
54057,21.9,0.9,50.1,0.6,1.1,39.9,20,5.1,20.5,"CUMBERLAND, MD-WV",15
54069,15.3,1,51.8,1.7,0.5,34.6,20.2,6.8,19.1,"WHEELING, WV-OH",15
54079,12.3,1.1,50.7,0.9,0.3,24.9,16.7,3.6,22.8,"CHARLESTON, WV",13
54099,25.9,0.6,51.4,0.5,0.3,43.6,19.2,2.1,21.3,"HUNTINGTON-ASHLAND, WV-KY-OH",15
54107,18.2,1.1,51.8,1,0.3,38.6,19.1,3.8,21.1,"PARKERSBURG-MARIETTA, WV-OH",16
55009,11.3,8.3,50.4,5.8,4.4,29.2,13.4,14.8,24.2,"GREEN BAY, WI",15
55015,8.7,4.1,50.1,2.8,2.3,18.7,13.6,5.2,25,"APPLETON-OSHKOSH-NEENAH, WI",13
55017,13.2,1.7,48,1.1,0.9,29,16.4,5.1,22.6,"EAU CLAIRE, WI",14
55025,8.7,6.3,50.3,8.6,4.5,24.4,12.3,16,21,"MADISON, WI",14
55031,14.9,1.5,50,1.8,0.6,31.7,16.9,7,20.3,"DULUTH-SUPERIOR, MN-WI",13
55035,12.6,2.3,50.8,3.6,2.8,32,14.4,7.5,20.5,"EAU CLAIRE, WI",14
55059,12.5,12.7,50.5,6.2,3.8,31,12.8,14.2,23.9,"KENOSHA, WI",16
55063,11.4,1.8,51.2,2.9,3.2,31.3,14.9,8.8,20.2,"LA CROSSE, WI-MN",13
55073,11.4,2.7,49.7,4.2,3.1,28.3,16.2,8.8,23.3,"WAUSAU, WI",14
55079,13,14.6,51.6,8.8,6.6,40.8,12.6,39.4,24.3,"MILWAUKEE-WAUKESHA, WI",18
55087,10,4.2,50.1,4,2.4,23.2,13.5,10.1,24,"APPLETON-OSHKOSH-NEENAH, WI",14
55089,8.4,2.8,50.9,4.5,1.7,15.2,18.1,5.8,21.8,"MILWAUKEE-WAUKESHA, WI",13
55093,9.9,1.9,50.3,1.8,1.7,23.5,13.2,3.8,21.1,"MINNEAPOLIS-ST. PAUL, MN-WI",12
55101,12.9,12.7,50.5,4.7,2.8,28.7,15.2,19.8,23.7,"RACINE, WI",16
55105,14.4,8.4,50.8,4.6,2.7,33.6,15.3,11.1,23.7,"JANESVILLE-BELOIT, WI",16
55109,8.8,2.3,50.1,2.4,1,16.4,12.5,3.8,25.8,"MINNEAPOLIS-ST. PAUL, MN-WI",12
55117,10.5,6.2,49.7,5.7,3.5,26.1,16.5,10.6,22.7,"SHEBOYGAN, WI",15
55131,10.5,3.1,50.3,2.7,1.3,15.9,16.3,4.5,22.8,"MILWAUKEE-WAUKESHA, WI",13
55133,9.8,4.6,50.9,5.1,2,14.1,17,7.4,22.2,"MILWAUKEE-WAUKESHA, WI",13
55139,11.8,3.9,49.6,3.5,2.1,27.9,15,7.6,20.8,"APPLETON-OSHKOSH-NEENAH, WI",14
56021,13.4,14.3,49.3,3.3,2.1,25.4,14.6,11.3,23.3,"CHEYENNE, WY",14
56025,14.6,8.2,49.3,3,2,27.9,13.3,6.7,24.1,"CASPER, WY",14
